AGS,Altersgruppe,Name,GueltigAb,GueltigBis,Einwohner,männlich,weiblich
03157,A05-A14,LK Peine,2021-08-27,2222-12-31,13103,6658,6445
03157,A15-A34,LK Peine,2021-08-27,2222-12-31,28444,14844,13600
03157,A35-A59,LK Peine,2021-08-27,2222-12-31,48453,24315,24138
03157,A60-A79,LK Peine,2021-08-27,2222-12-31,29261,14154,15107
03157,A80+,LK Peine,2021-08-27,2222-12-31,9594,3720,5874
03157,unbekannt,LK Peine,2020-01-01,2222-12-31,0,0,0
03158,A00+,LK Wolfenbüttel,2020-01-01,2020-10-07,119960,,
03158,A00+,LK Wolfenbüttel,2020-10-08,2021-08-26,119622,,
03158,A00+,LK Wolfenbüttel,2021-08-27,2222-12-31,119361,59102,60259
03158,A00-A04,LK Wolfenbüttel,2021-08-27,2222-12-31,5270,2698,2572
03158,A05-A14,LK Wolfenbüttel,2021-08-27,2222-12-31,10142,5190,4952
03158,A15-A34,LK Wolfenbüttel,2021-08-27,2222-12-31,24339,12908,11431
03158,A35-A59,LK Wolfenbüttel,2021-08-27,2222-12-31,41796,20817,20979
03158,A60-A79,LK Wolfenbüttel,2021-08-27,2222-12-31,28468,13745,14723
03158,A80+,LK Wolfenbüttel,2021-08-27,2222-12-31,9346,3744,5602
03158,unbekannt,LK Wolfenbüttel,2020-01-01,2222-12-31,0,0,0
03159,A00+,LK Göttingen,2020-01-01,2020-10-07,328074,,
03159,A00+,LK Göttingen,2020-10-08,2021-08-26,326041,,
03159,A00+,LK Göttingen,2021-08-27,2222-12-31,323900,158991,164909
03159,A00-A04,LK Göttingen,2021-08-27,2222-12-31,14042,7236,6806
03159,A05-A14,LK Göttingen,2021-08-27,2222-12-31,26934,13947,12987
03159,A15-A34,LK Göttingen,2021-08-27,2222-12-31,80033,41178,38855
03159,A35-A59,LK Göttingen,2021-08-27,2222-12-31,104707,51540,53167
03159,A60-A79,LK Göttingen,2021-08-27,2222-12-31,73646,35468,38178
03159,A80+,LK Göttingen,2021-08-27,2222-12-31,24538,9622,14916
03159,unbekannt,LK Göttingen,2020-01-01,2222-12-31,0,0,0
03241,A00+,Region Hannover,2020-01-01,2020-10-07,1157624,,
03241,A00+,Region Hannover,2020-10-08,2021-08-26,1157115,,
03241,A00+,Region Hannover,2021-08-27,2222-12-31,1155330,565498,589832
03241,A00-A04,Region Hannover,2021-08-27,2222-12-31,55926,28621,27305
03241,A05-A14,Region Hannover,2021-08-27,2222-12-31,105208,54045,51163
03241,A15-A34,Region Hannover,2021-08-27,2222-12-31,277281,142791,134490
03241,A35-A59,Region Hannover,2021-08-27,2222-12-31,394485,196192,198293
03241,A60-A79,Region Hannover,2021-08-27,2222-12-31,238499,111639,126860
03241,A80+,Region Hannover,2021-08-27,2222-12-31,83931,32210,51721
03241,unbekannt,Region Hannover,2020-01-01,2222-12-31,0,0,0
03251,A00+,LK Diepholz,2020-01-01,2020-10-07,216886,,
03251,A00+,LK Diepholz,2020-10-08,2021-08-26,217089,,
03251,A00+,LK Diepholz,2021-08-27,2222-12-31,218072,108453,109619
03251,A00-A04,LK Diepholz,2021-08-27,2222-12-31,10174,5237,4937
03251,A05-A14,LK Diepholz,2021-08-27,2222-12-31,19882,10276,9606
03251,A15-A34,LK Diepholz,2021-08-27,2222-12-31,45734,24013,21721
03251,A35-A59,LK Diepholz,2021-08-27,2222-12-31,76502,38288,38214
03251,A60-A79,LK Diepholz,2021-08-27,2222-12-31,49618,24216,25402
03251,A80+,LK Diepholz,2021-08-27,2222-12-31,16162,6423,9739
03251,unbekannt,LK Diepholz,2020-01-01,2222-12-31,0,0,0
03252,A00+,LK Hameln-Pyrmont,2020-01-01,2020-10-07,148559,,
03252,A00+,LK Hameln-Pyrmont,2020-10-08,2021-08-26,148549,,
03252,A00+,LK Hameln-Pyrmont,2021-08-27,2222-12-31,148580,71881,76699
03252,A00-A04,LK Hameln-Pyrmont,2021-08-27,2222-12-31,6650,3423,3227
03252,A05-A14,LK Hameln-Pyrmont,2021-08-27,2222-12-31,12961,6591,6370
03252,A15-A34,LK Hameln-Pyrmont,2021-08-27,2222-12-31,29901,15354,14547
03252,A35-A59,LK Hameln-Pyrmont,2021-08-27,2222-12-31,49650,24482,25168
03252,A60-A79,LK Hameln-Pyrmont,2021-08-27,2222-12-31,36170,17093,19077
03252,A80+,LK Hameln-Pyrmont,2021-08-27,2222-12-31,13248,4938,8310
03252,unbekannt,LK Hameln-Pyrmont,2020-01-01,2222-12-31,0,0,0
03254,A00+,LK Hildesheim,2020-01-01,2020-10-07,276594,,
03254,A00+,LK Hildesheim,2020-10-08,2021-08-26,275817,,
03254,A00+,LK Hildesheim,2021-08-27,2222-12-31,275464,134529,140935
03254,A00-A04,LK Hildesheim,2021-08-27,2222-12-31,11960,6173,5787
03254,A05-A14,LK Hildesheim,2021-08-27,2222-12-31,23571,12046,11525
03254,A15-A34,LK Hildesheim,2021-08-27,2222-12-31,61766,31632,30134
03254,A35-A59,LK Hildesheim,2021-08-27,2222-12-31,92973,46328,46645
03254,A60-A79,LK Hildesheim,2021-08-27,2222-12-31,63194,30038,33156
03254,A80+,LK Hildesheim,2021-08-27,2222-12-31,22000,8312,13688
03254,unbekannt,LK Hildesheim,2020-01-01,2222-12-31,0,0,0
03255,A00+,LK Holzminden,2020-01-01,2020-10-07,70975,,
03255,A00+,LK Holzminden,2020-10-08,2021-08-26,70458,,
03255,A00+,LK Holzminden,2021-08-27,2222-12-31,70207,34811,35396
03255,A00-A04,LK Holzminden,2021-08-27,2222-12-31,2938,1505,1433
03255,A05-A14,LK Holzminden,2021-08-27,2222-12-31,5724,2946,2778
03255,A15-A34,LK Holzminden,2021-08-27,2222-12-31,14296,7648,6648
03255,A35-A59,LK Holzminden,2021-08-27,2222-12-31,23053,11572,11481
03255,A60-A79,LK Holzminden,2021-08-27,2222-12-31,17643,8540,9103
03255,A80+,LK Holzminden,2021-08-27,2222-12-31,6553,2600,3953
03255,unbekannt,LK Holzminden,2020-01-01,2222-12-31,0,0,0
03256,A00+,LK Nienburg (Weser),2020-01-01,2020-10-07,121386,,
