GENESIS-Tabelle: 12411-0015
Bevölkerung: Kreise, Stichtag;;
Fortschreibung des Bevölkerungsstandes;;
Bevölkerungsstand (Anzahl);;
;;Stichtag
;;31.12.2019
14280;Meißen, Landkreis (bis 31.07.2008);-
14284;Niederschlesischer Oberlausitzkreis (b.31.07.2008);-
14285;Riesa-Großenhain, Landkreis (bis 31.07.2008);-
14286;Löbau-Zittau, Landkreis (bis 31.07.2008);-
14287;Sächsische Schweiz, Landkreis (bis 31.07.2008);-
14290;Weißeritzkreis (bis 31.07.2008);-
14292;Kamenz, Landkreis (bis 31.07.2008);-
14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
14374;Delitzsch, Landkreis (bis 31.07.2008);-
14375;Döbeln, Landkreis (bis 31.07.2008);-
14379;Leipziger Land, Landkreis (bis 31.07.2008);-
14383;Muldentalkreis (bis 31.07.2008);-
14389;Torgau-Oschatz, Landkreis (bis 31.07.2008);-
14511;Chemnitz, kreisfreie Stadt;246334
14521;Erzgebirgskreis;334948
14522;Mittelsachsen, Landkreis;304099
14523;Vogtlandkreis;225997
14524;Zwickau, Landkreis;315002
14612;Dresden, kreisfreie Stadt;556780
14625;Bautzen, Landkreis;299758
14626;Görlitz, Landkreis;252725
14627;Meißen, Landkreis;241717
14628;Sächsische Schweiz-Osterzgebirge, Landkreis;245586
14713;Leipzig, kreisfreie Stadt;593145
14729;Leipzig, Landkreis;258139
14730;Nordsachsen, Landkreis;197741
15001;Dessau-Roßlau, kreisfreie Stadt;80103
15002;Halle (Saale), kreisfreie Stadt;238762
15003;Magdeburg, kreisfreie Stadt;237565
15081;Altmarkkreis Salzwedel;83173
15082;Anhalt-Bitterfeld, Landkreis;158486
15083;Börde, Landkreis;170923
15084;Burgenlandkreis;178846
15085;Harz, Landkreis;213310
15086;Jerichower Land, Landkreis;89589
15087;Mansfeld-Südharz, Landkreis;134942
15088;Saalekreis;183815
15089;Salzlandkreis;189125
15090;Stendal, Landkreis;111190
15091;Wittenberg, Landkreis;124953
15101;Dessau, kreisfreie Stadt (bis 30.06.2007);-
15151;Anhalt-Zerbst, Landkreis (bis 30.06.2007);-
15153;Bernburg, Landkreis (bis 30.06.2007);-
15154;Bitterfeld, Landkreis (bis 30.06.2007);-
15159;Köthen, Landkreis (bis 30.06.2007);-
15171;Wittenberg, Landkreis (bis 30.06.2007);-
15202;Halle (Saale), kreisfreie Stadt (bis 30.06.2007);-
15256;Burgenlandkreis (bis 30.06.2007);-
15260;Mansfelder Land, Landkreis (bis 30.06.2007);-
15261;Merseburg-Querfurt, Landkreis (bis 30.06.2007);-
15265;Saalkreis (bis 30.06.2007);-
15266;Sangerhausen, Landkreis (bis 30.06.2007);-
15268;Weißenfels, Landkreis (bis 30.06.2007);-
15303;Magdeburg, kreisfreie Stadt (bis 30.06.2007);-
15352;Aschersleben-Staßfurt, Landkreis (bis 30.06.2007);-
15355;Bördekreis (bis 30.06.2007);-
15357;Halberstadt, Landkreis (bis 30.06.2007);-
15358;Jerichower Land, Landkreis (bis 30.06.2007);-
15362;Ohrekreis (bis 30.06.2007);-
15363;Stendal, Landkreis (bis 30.06.2007);-
15364;Quedlinburg, Landkreis (bis 30.06.2007);-
15367;Schönebeck, Landkreis (bis 30.06.2007);-
15369;Wernigerode, Landkreis (bis 30.06.2007);-
15370;Altmarkkreis Salzwedel (bis 30.06.2007);-
16051;Erfurt, kreisfreie Stadt;213981
16052;Gera, kreisfreie Stadt;93125
16053;Jena, kreisfreie Stadt;111343
16054;Suhl, kreisfreie Stadt;36789
16055;Weimar, kreisfreie Stadt;65228
16056;Eisenach, kreisfreie Stadt;42250
16061;Eichsfeld, Landkreis;100006
16062;Nordhausen, Landkreis;83416
16063;Wartburgkreis;118974
16064;Unstrut-Hainich-Kreis;102232
16065;Kyffhäuserkreis;74212
16066;Schmalkalden-Meiningen, Landkreis;124916
16067;Gotha, Landkreis;134908
16068;Sömmerda, Landkreis;69427
16069;Hildburghausen, Landkreis;63197
16070;Ilm-Kreis;106249
16071;Weimarer Land, Landkreis;82156
16072;Sonneberg, Landkreis;57717
16073;Saalfeld-Rudolstadt, Landkreis;103199
16074;Saale-Holzland-Kreis;82950
16075;Saale-Orla-Kreis;80312
16076;Greiz, Landkreis;97398
16077;Altenburger Land, Landkreis;89393
__________
Ab 2011: Ergebnisse auf Grundlage des Zensus 2011.
© Statistisches Bundesamt (Destatis), 2021
Stand: 03.04.2021 / 23:11:57
