Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-29,7,7333,20265,107,119,0,722,2022-04-29,2022-04-28,75539,955.7976674300693
2022-04-29,7,7334,41269,205,187,1,1293,2022-04-29,2022-04-28,129006,1002.278963769127
2022-04-29,7,7335,34548,147,234,1,1452,2022-04-29,2022-04-28,106320,1365.6884875846501
2022-04-29,7,7336,17550,103,90,0,592,2022-04-29,2022-04-28,70105,844.4476142928465
2022-04-29,7,7337,22861,165,123,0,579,2022-04-29,2022-04-28,110783,522.6433658593828
2022-04-29,7,7338,39438,279,528,0,709,2022-04-29,2022-04-28,154754,458.1464776354731
2022-04-29,7,7339,56557,290,214,1,1752,2022-04-29,2022-04-28,211525,828.2708899657251
2022-04-29,7,7340,21849,131,159,0,1086,2022-04-29,2022-04-28,94912,1144.217801753203
2022-04-29,8,8111,169613,669,673,0,5812,2022-04-29,2022-04-28,630305,922.0932723046778
2022-04-29,8,8115,121746,460,443,0,2500,2022-04-29,2022-04-28,392898,636.2974614276479
2022-04-29,8,8116,165682,802,506,2,3245,2022-04-29,2022-04-28,533617,608.1140593346914
2022-04-29,8,8117,80896,386,195,0,1110,2022-04-29,2022-04-28,258781,428.9341180380321
2022-04-29,8,8118,159451,708,594,0,3071,2022-04-29,2022-04-28,544971,563.5162237990645
2022-04-29,8,8119,132229,587,961,5,4034,2022-04-29,2022-04-28,427286,944.0983322645723
2022-04-29,8,8121,44550,264,108,0,660,2022-04-29,2022-04-28,126458,521.91241360768
2022-04-29,8,8125,115651,324,315,0,2490,2022-04-29,2022-04-28,346363,718.8989586070105
2022-04-29,8,8126,37147,177,136,0,915,2022-04-29,2022-04-28,112765,811.4219837715602
2022-04-29,8,8127,63688,332,148,2,1389,2022-04-29,2022-04-28,197860,702.0115232993026
2022-04-29,8,8128,40299,193,151,0,961,2022-04-29,2022-04-28,132684,724.2772301106388
2022-04-29,8,8135,44760,297,128,0,712,2022-04-29,2022-04-28,132812,536.0961358913352
2022-04-29,8,8136,104834,566,326,0,2334,2022-04-29,2022-04-28,314294,742.6167855574716
2022-04-29,8,8211,15707,104,43,0,332,2022-04-29,2022-04-28,55449,598.7483994301069
2022-04-29,8,8212,85801,350,383,0,2292,2022-04-29,2022-04-28,308436,743.1039178306035
2022-04-29,8,8215,137559,689,526,-1,3836,2022-04-29,2022-04-28,446852,858.4497775549846
2022-04-29,8,8216,74169,363,240,0,1696,2022-04-29,2022-04-28,232091,730.7478532127484
2022-04-29,8,8221,40016,111,173,0,1027,2022-04-29,2022-04-28,158741,646.9658122350244
2022-04-29,8,8222,95238,475,344,1,2463,2022-04-29,2022-04-28,309721,795.2318376861757
2022-04-29,8,8225,46894,211,108,0,1050,2022-04-29,2022-04-28,143797,730.1960402511875
2022-04-29,8,8226,159097,661,598,0,4229,2022-04-29,2022-04-28,548233,771.3873480801046
2022-04-29,8,8231,42988,321,80,3,779,2022-04-29,2022-04-28,126016,618.1754697816151
2022-04-29,8,8235,50372,280,132,1,992,2022-04-29,2022-04-28,160149,619.4231621802197
2022-04-29,8,8236,62649,337,203,2,1491,2022-04-29,2022-04-28,199752,746.4255677039529
2022-04-29,8,8237,39518,238,163,0,904,2022-04-29,2022-04-28,118364,763.7457335000507
2022-04-29,8,8311,71231,255,315,1,1673,2022-04-29,2022-04-28,230940,724.4305880315234
2022-04-29,8,8315,77540,318,284,1,1887,2022-04-29,2022-04-28,264867,712.4330324275958
2022-04-29,8,8316,52187,234,260,0,1406,2022-04-29,2022-04-28,166862,842.6124581989908
2022-04-29,8,8317,149827,762,461,0,2559,2022-04-29,2022-04-28,432580,591.5668778029498
2022-04-29,8,8325,50854,273,114,0,646,2022-04-29,2022-04-28,140166,460.8820969421971
2022-04-29,8,8326,73080,362,121,1,817,2022-04-29,2022-04-28,212872,383.7987147205833
2022-04-29,8,8327,49661,251,126,1,611,2022-04-29,2022-04-28,141682,431.2474414533956
2022-04-29,8,8335,87731,424,523,0,1623,2022-04-29,2022-04-28,286876,565.749661874817
2022-04-29,8,8336,66884,413,133,0,1093,2022-04-29,2022-04-28,228842,477.62211482157994
2022-04-29,8,8337,51248,314,177,0,809,2022-04-29,2022-04-28,171237,472.4446235334653
2022-04-29,8,8415,92776,440,220,0,1599,2022-04-29,2022-04-28,287497,556.1797166579129
2022-04-29,8,8416,68784,246,240,0,1738,2022-04-29,2022-04-28,228471,760.7092366208403
2022-04-29,8,8417,62973,235,145,0,1125,2022-04-29,2022-04-28,189862,592.5356311426193
2022-04-29,8,8421,41299,114,152,1,706,2022-04-29,2022-04-28,126405,558.522210355603
2022-04-29,8,8425,66118,228,205,0,1255,2022-04-29,2022-04-28,198204,633.1860103731509
