Datenstand,IdBundesland,IdLandkreis,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-24,9,9262,SK Passau,19186,149,34,0,173,330.05818944958503
2022-05-24,9,9263,SK Straubing,17017,130,15,0,83,174.32580021843233
2022-05-24,9,9271,LK Deggendorf,47137,285,93,1,387,323.9062931561195
2022-05-24,9,9272,LK Freyung-Grafenau,32960,222,51,0,219,279.4971603599004
2022-05-24,9,9273,LK Kelheim,47143,159,80,0,342,277.1699489423778
2022-05-24,9,9274,LK Landshut,63353,305,218,1,1003,622.2431773486112
2022-05-24,9,9275,LK Passau,79133,573,121,0,587,303.43130666721805
2022-05-24,9,9276,LK Regen,33048,258,34,0,180,232.8198362500485
2022-05-24,9,9277,LK Rottal-Inn,50653,350,80,0,321,263.5467980295566
2022-05-24,9,9278,LK Straubing-Bogen,43296,194,58,0,317,311.5632217799401
2022-05-24,9,9279,LK Dingolfing-Landau,39735,229,47,0,216,222.12167331660564
2022-05-24,9,9361,SK Amberg,13624,62,23,0,86,204.5087035099401
2022-05-24,9,9362,SK Regensburg,55061,160,89,0,404,265.3181848033099
2022-05-24,9,9363,SK Weiden i.d.OPf.,15608,119,29,0,108,253.90854590337366
2022-05-24,9,9371,LK Amberg-Sulzbach,34474,224,71,0,278,269.9081535563797
2022-05-24,9,9372,LK Cham,50250,271,88,0,386,301.3412025543741
2022-05-24,9,9373,LK Neumarkt i.d.OPf.,49014,245,88,0,454,335.7367350711777
2022-05-24,9,9374,LK Neustadt a.d.Waldnaab,37436,235,55,0,225,237.7304664800042
2022-05-24,9,9375,LK Regensburg,75655,259,124,0,607,312.44370093939006
2022-05-24,9,9376,LK Schwandorf,56726,285,105,0,408,274.79003482020784
2022-05-24,9,9377,LK Tirschenreuth,27912,311,74,0,227,316.6145949564829
2022-05-24,9,9461,SK Bamberg,24363,154,57,0,222,289.53752249784804
2022-05-24,9,9462,SK Bayreuth,25858,167,51,0,209,282.2493517718237
2022-05-24,9,9463,SK Coburg,14786,121,30,0,104,254.6398315459576
2022-05-24,9,9464,SK Hof,17281,168,22,1,99,219.15746131538754
2022-05-24,9,9471,LK Bamberg,58323,261,97,0,422,286.10751405113325
2022-05-24,9,9472,LK Bayreuth,37235,222,93,0,370,356.8707259907985
2022-05-24,9,9473,LK Coburg,31815,206,51,0,239,276.0739739635675
2022-05-24,9,9474,LK Forchheim,42960,192,111,0,375,321.61234991423675
2022-05-24,9,9475,LK Hof,34224,256,99,0,378,399.90689998095684
