Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-23,7,7333,19529,106,115,0,726,2022-04-23,2022-04-22,75539,961.0929453659699
2022-04-23,7,7334,40219,202,227,0,1546,2022-04-23,2022-04-22,129006,1198.3938731531866
2022-04-23,7,7335,33333,145,324,0,1325,2022-04-23,2022-04-22,106320,1246.2377727614748
2022-04-23,7,7336,17043,102,99,0,734,2022-04-23,2022-04-22,70105,1047.0009271806575
2022-04-23,7,7337,22109,164,370,1,564,2022-04-23,2022-04-22,110783,509.1033822878961
2022-04-23,7,7338,38205,279,285,0,818,2022-04-23,2022-04-22,154754,528.5808444369774
2022-04-23,7,7339,55144,286,432,0,2191,2022-04-23,2022-04-22,211525,1035.8113698144427
2022-04-23,7,7340,20888,131,365,0,946,2022-04-23,2022-04-22,94912,996.7127444369521
2022-04-23,8,8111,164807,668,1113,0,4443,2022-04-23,2022-04-22,630305,704.896835658927
2022-04-23,8,8115,119309,454,450,0,3348,2022-04-23,2022-04-22,392898,852.1295603439061
2022-04-23,8,8116,162889,797,689,0,3798,2022-04-23,2022-04-22,533617,711.7464398622982
2022-04-23,8,8117,79763,386,287,0,1445,2022-04-23,2022-04-22,258781,558.387207716177
2022-04-23,8,8118,155793,707,598,1,3357,2022-04-23,2022-04-22,544971,615.9960805253858
2022-04-23,8,8119,127963,581,706,1,3828,2022-04-23,2022-04-22,427286,895.8870639337587
2022-04-23,8,8121,43908,263,85,0,768,2022-04-23,2022-04-22,126458,607.3162631071186
2022-04-23,8,8125,113593,322,516,1,3332,2022-04-23,2022-04-22,346363,961.996518103839
2022-04-23,8,8126,36311,177,189,0,730,2022-04-23,2022-04-22,112765,647.3639870527202
2022-04-23,8,8127,62551,329,253,0,1235,2022-04-23,2022-04-22,197860,624.1787122207621
2022-04-23,8,8128,39438,190,256,0,871,2022-04-23,2022-04-22,132684,656.4468963853969
2022-04-23,8,8135,44045,297,102,0,780,2022-04-23,2022-04-22,132812,587.296328645002
2022-04-23,8,8136,102875,565,402,1,2710,2022-04-23,2022-04-22,314294,862.2499952273986
2022-04-23,8,8211,15440,104,66,0,464,2022-04-23,2022-04-22,55449,836.8049919746073
2022-04-23,8,8212,83884,343,706,0,2462,2022-04-23,2022-04-22,308436,798.2207005667301
2022-04-23,8,8215,134435,686,1329,0,4463,2022-04-23,2022-04-22,446852,998.7646916652493
2022-04-23,8,8216,72764,359,295,0,2351,2022-04-23,2022-04-22,232091,1012.9647422778133
2022-04-23,8,8221,39173,109,187,0,1076,2022-04-23,2022-04-22,158741,677.8337039580197
